strategy,variant,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit
augmentation,fm_na16,fm,13,18.957807552005917,0.4805826908562629,0.12125000000000001,0.5198023768096098,501934.85,505503.625,507720.9125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,14,19.161620909591257,0.4784369092992019,0.1215625,0.48114837398373983,501792.109375,505823.078125,507972.88125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,15,15.402493347456764,0.47620290181034813,0.12125000000000001,0.4802494872573307,502878.2375,506136.296875,507990.146875,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,16,20.785695733230558,0.4773664677492451,0.11906249999999999,0.49021498516850665,501638.821875,505392.390625,507816.8125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,0,140.5946225098615,0.4848835867194553,0.21046874999999998,0.7758468246947852,495160.134375,501650.515625,507473.15,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,1,77.41892521596992,0.4856097014404948,0.19171875,0.7227598640989166,496804.421875,501938.0,507835.684375,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,2,77.68879562424192,0.48343018472534294,0.20296874999999998,0.7815574169639721,497720.8,503005.84375,507578.640625,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,3,64.96499000703652,0.4834152881822327,0.2109375,0.7439402085121796,497614.778125,503178.125,507992.915625,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,4,70.14493899243756,0.48256370982210584,0.1984375,0.7612792059079274,497639.63125,503760.921875,507742.521875,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8_n200,fm,5,60.31166450386038,0.48570476438230065,0.2,0.7305960255728012,498271.059375,503669.828125,507740.775,True,artifacts/egg_inversion_augmentation_fm_na8_n200.h5,1d5a667962a4698b3e78b2e13871f6a15ef38f4376b263f07aaec673ae7202ae,results/raw/egg_inversion_augmentation_fm_na8_n200.json,f573de44cff1eec09f48de0891d90031339564d71f24985335b815f6435d9dfc,b5c168233b35894805984fa737d7c9cc86758d6a,59eb0e374c64cd0c025287969c0a64d701a08473
